FECHA;CANTIDAD;TIPO DE SERVICIO Especifico;TIPO DE SERVICIO General;DESCRIPCIÓN;COSTO x Uni;MONTO TOTAL;;;;;;;;;;;;;;;
3/1/2025;1;Colchón;Limpieza;compra lejia color;12.2;12.2;;;;;;;;;;;;;;;
4/1/2025;1;Medicamento;Medicamento;BETTY ;280;280;;;;;;;;;;;;;;;
4/1/2025;1;Abogados;Abogados;Cristina consulta de 390;195;195;;;;;;;;;;;;;;;
6/1/2025;1;Abogados;Abogados;Cristina consulta de 390;195;195;;;;;;;;;;;;;;;
7/1/2025;1;Colchón;Limpieza;insumos;719.5;719.5;;;;;;;;;;;;;;;
7/1/2025;1;Abogados;Abogados;Cristina consulta de 250;125;125;;;;;;;;;;;;;;;
8/1/2025;1;Empresa;Empresa;PAPEL TOALLA;13.2;13.2;;;;;;;;;;;;;;;
8/1/2025;1;Pisos;Limpieza;Insumos de Jonny;340;340;;;;;;;;;;;;;;;
9/1/2025;1;Cocina;Limpieza;Vinagres ;44.4;44.4;;;;;;;;;;;;;;;
9/1/2025;1;Empresa;Empresa;Refrigerio;32;32;;;;;;;;;;;;;;;
9/1/2025;1;Pisos;Limpieza;Compra insumos de piso;273.3;273.3;;;;;;;;;;;;;;;
9/1/2025;1;Abogados;Abogados;consulta abogado 390;195;195;;;;;;;;;;;;;;;
14/1/2025;1;Clases;Clases;PAGO ALFO ;315;315;;;;;;;;;;;;;;;
20/1/2025;1;Pisos;Limpieza;COMPRA INSUMOS LIMPIEZA ;560;560;;;;;;;;;;;;;;;
20/1/2025;1;Empresa;Empresa;2 pasaje ;2;2;;;;;;;;;;;;;;;
21/1/2025;1;Empresa;Empresa;Gaseosa;19;19;;;;;;;;;;;;;;;
24/1/2025;1;Empresa;Empresa;dollar city;72;72;;;;;;;;;;;;;;;
24/1/2025;1;Cocina;Limpieza;Vinagres ;15.6;15.6;;;;;;;;;;;;;;;
24/1/2025;1;Pisos;Limpieza;comora binner pisos;491.7;491.7;;;;;;;;;;;;;;;
24/1/2025;1;Pisos;Limpieza;pads joni;510;510;;;;;;;;;;;;;;;
25/1/2025;1;Empresa;Empresa;gaseosa;21;21;;;;;;;;;;;;;;;
27/1/2025;1;Empresa;Empresa;gaseosa;20;20;;;;;;;;;;;;;;;
28/1/2025;1;Colchón;Limpieza;champu de muebles ;120;120;;;;;;;;;;;;;;;
28/1/2025;3;Empresa;Empresa;Pago AFP (incluye Essalud);128.48;385.44;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Pago ONP (incluye Essalud);146.9;146.9;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Banahosting - Hosting;300;300;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Namecheap - Hosting;300;300;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Sered - Hosting;100;100;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Nicalia - Hosting;160;160;;;;;;;;;;;;;;;
28/1/2025;1;Empresa;Empresa;Imunify - Antivirus para Hosting;100;100;;;;;;;;;;;;;;;
28/1/2025;1;Personal Marketing;Marketing;Pago a Camila;673.66;673.66;;;;;;;;;;;;;;;
5/2/2025;1;Empresa;Empresa;gaseosa/bocaditos/bizcochos;26.3;26.3;;;;;;;;;;;;;;;
5/2/2025;1;Pisos;Limpieza;insumos;820;820;;;;;;;;;;;;;;;
5/2/2025;1;Empresa;Empresa;gaseosa/kekes;21.5;21.5;;;;;;;;;;;;;;;
5/2/2025;1;Personal Limpieza;Limpieza;Jose/ Ricardo/ Jeremy;225;225;;;;;;;;;;;;;;;
6/2/2025;1;Empresa;Empresa;gaseosa/kekes;14.9;14.9;;;;;;;;;;;;;;;
6/2/2025;1;Personal Limpieza;Limpieza;Ricardo;60;60;;;;;;;;;;;;;;;
7/2/2025;1;Personal Limpieza;Limpieza;Ricardo;75;75;;;;;;;;;;;;;;;
8/2/2025;1;Personal Limpieza;Limpieza;Jhony - visita técnica;60;60;;;;;;;;;;;;;;;
8/2/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;95;95;;;;;;;;;;;;;;;
8/2/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;145;145;;;;;;;;;;;;;;;
8/2/2025;1;Personal Limpieza;Limpieza;Sr Rosa;3;3;;;;;;;;;;;;;;;
8/2/2025;1;Personal Limpieza;Limpieza;José Urbina;55;55;;;;;;;;;;;;;;;
9/2/2025;1;Clases;Clases;Jorge Fernandez  (clases);895;895;;;;;;;;;;;;;;;
10/2/2025;1;Clases;Clases;Katherine Cristobal;517.5;517.5;;;;;;;;;;;;;;;
11/2/2025;1;Colchón;Limpieza;René Shampoo;120;120;;;;;;;;;;;;;;;
13/2/2025;1;Personal Limpieza;Limpieza;Salud Brayan;50;50;;;;;;;;;;;;;;;
13/2/2025;1;Abogados;Abogados;Abogado Labor Molina;95;95;;;;;;;;;;;;;;;
13/2/2025;1;Colchón;Limpieza;Carbon para maq. aspiradora;60;60;;;;;;;;;;;;;;;
13/2/2025;1;Reparaciones;Reparaciones;Reparación Jefer (BK cowork);90;90;;;;;;;;;;;;;;;
13/2/2025;1;Medicamento;Medicamento;Farmacéutica Betty;3500;3500;;;;;;;;;;;;;;;
13/2/2025;1;Abogados;Abogados;Abogada Jenireth Cristina;195;195;;;;;;;;;;;;;;;
14/2/2025;1;Pisos;Limpieza;Rueda para aspiradora;12;12;;;;;;;;;;;;;;;
14/2/2025;1;Empresa;Empresa;José Urbina;55;55;;;;;;;;;;;;;;;
14/2/2025;1;Pisos;Limpieza;Visita técnica Jhonny;50;50;;;;;;;;;;;;;;;
15/2/2025;1;Pisos;Limpieza;Insumos Jhonny (minipads);240;240;;;;;;;;;;;;;;;
15/2/2025;1;Personal Ventas;Empresa;Olga (ventas);500;500;;;;;;;;;;;;;;;
15/2/2025;1;Personal Ventas;Empresa;Navid (ventas);500;500;;;;;;;;;;;;;;;
