FECHA,CANTIDAD,TIPO DE SERVICIO Especifico,TIPO DE SERVICIO General,DESCRIPCIÓN,COSTO x Uni,MONTO TOTAL
01/03/2025,1,Colchón,Limpieza,compra lejia color,12.2,12.2
01/04/2025,1,Medicamento,Medicamento,BETTY ,280,280
01/04/2025,1,Abogados,Abogados,Cristina consulta de 390,195,195
01/06/2025,1,Abogados,Abogados,Cristina consulta de 390,195,195
01/07/2025,1,Colchón,Limpieza,insumos,719.5,719.5
01/07/2025,1,Abogados,Abogados,Cristina consulta de 250,125,125
01/08/2025,1,Empresa,Empresa,PAPEL TOALLA,13.2,13.2
01/08/2025,1,Pisos,Limpieza,Insumos de Jonny,340,340
01/09/2025,1,Cocina,Limpieza,Vinagres ,44.4,44.4
01/09/2025,1,Empresa,Empresa,Refrigerio,32,32
01/09/2025,1,Pisos,Limpieza,Compra insumos de piso,273.3,273.3
01/09/2025,1,Abogados,Abogados,consulta abogado 390,195,195
01/14/2025,1,Clases,Clases,PAGO ALFO ,315,315
01/20/2025,1,Pisos,Limpieza,COMPRA INSUMOS LIMPIEZA ,560,560
01/20/2025,1,Empresa,Empresa,2 pasaje ,2,2
01/21/2025,1,Empresa,Empresa,Gaseosa,19,19
01/24/2025,1,Empresa,Empresa,dollar city,72,72
01/24/2025,1,Cocina,Limpieza,Vinagres ,15.6,15.6
01/24/2025,1,Pisos,Limpieza,comora binner pisos,491.7,491.7
01/24/2025,1,Pisos,Limpieza,pads joni,510,510
01/25/2025,1,Empresa,Empresa,gaseosa,21,21
01/27/2025,1,Empresa,Empresa,gaseosa,20,20
01/28/2025,1,Colchón,Limpieza,champu de muebles ,120,120
01/28/2025,3,Empresa,Empresa,Pago AFP (incluye Essalud),128.48,385.44
01/28/2025,1,Empresa,Empresa,Pago ONP (incluye Essalud),146.9,146.9
01/28/2025,1,Empresa,Empresa,Banahosting - Hosting,300,300
01/28/2025,1,Empresa,Empresa,Namecheap - Hosting,300,300
01/28/2025,1,Empresa,Empresa,Sered - Hosting,100,100
01/28/2025,1,Empresa,Empresa,Nicalia - Hosting,160,160
01/28/2025,1,Empresa,Empresa,Imunify - Antivirus para Hosting,100,100
01/28/2025,1,Personal Marketing,Marketing,Pago a Camila,673.66,673.66
02/05/2025,1,Empresa,Empresa,gaseosa/bocaditos/bizcochos,26.3,26.3
02/05/2025,1,Pisos,Limpieza,insumos,820,820
02/05/2025,1,Empresa,Empresa,gaseosa/kekes,21.5,21.5
02/05/2025,1,Personal Limpieza,Limpieza,Jose/ Ricardo/ Jeremy,225,225
02/06/2025,1,Empresa,Empresa,gaseosa/kekes,14.9,14.9
02/06/2025,1,Personal Limpieza,Limpieza,Ricardo,60,60
02/07/2025,1,Personal Limpieza,Limpieza,Ricardo,75,75
02/08/2025,1,Personal Limpieza,Limpieza,Jhony - visita técnica,60,60
02/08/2025,1,Abogados,Abogados,Abogada Jenireth Cristina,95,95
02/08/2025,1,Abogados,Abogados,Abogada Jenireth Cristina,145,145
02/08/2025,1,Personal Limpieza,Limpieza,Sr Rosa,3,3
02/08/2025,1,Personal Limpieza,Limpieza,José Urbina,55,55
02/09/2025,1,Clases,Clases,Jorge Fernandez  (clases),895,895
02/10/2025,1,Clases,Clases,Katherine Cristobal,517.5,517.5
02/11/2025,1,Colchón,Limpieza,René Shampoo,120,120
02/13/2025,1,Personal Limpieza,Limpieza,Salud Brayan,50,50
02/13/2025,1,Abogados,Abogados,Abogado Labor Molina,95,95
02/13/2025,1,Colchón,Limpieza,Carbon para maq. aspiradora,60,60
02/13/2025,1,Reparaciones,Reparaciones,Reparación Jefer (BK cowork),90,90
02/13/2025,1,Medicamento,Medicamento,Farmacéutica Betty,3500,3500
02/13/2025,1,Abogados,Abogados,Abogada Jenireth Cristina,195,195
02/14/2025,1,Pisos,Limpieza,Rueda para aspiradora,12,12
02/14/2025,1,Empresa,Empresa,José Urbina,55,55
02/14/2025,1,Pisos,Limpieza,Visita técnica Jhonny,50,50
02/15/2025,1,Pisos,Limpieza,Insumos Jhonny (minipads),240,240
02/15/2025,1,Personal Ventas,Empresa,Olga (ventas),500,500
02/15/2025,1,Personal Ventas,Empresa,Navid (ventas),500,500
02/15/2025,1,Personal Limpieza,Limpieza,Jesús (mantenimiento),750,750
02/15/2025,1,Personal Limpieza,Limpieza,Rosa (mantenimiento),900,900
02/16/2025,1,Marketing,Marketing,Google Ads,13742.8,13742.8
02/17/2025,1,Pisos,Limpieza,Insumos de limpieza,399,399
02/17/2025,1,Empresa,Empresa,Ventilador/mascarilla,87.7,87.7
02/17/2025,1,Clases,Clases,Profesor Jackson Rojo,225,225
02/17/2025,1,Empresa,Empresa,Servicios de Jhonny Nalvarte,300,300
02/18/2025,1,Clases,Clases,Adelanto de Brayan,320,320
02/18/2025,1,Empresa,Empresa,02 plumones negros,7,7
02/18/2025,1,Empresa,Empresa,Servicios de Jhonny Nalvarte,300,300
02/18/2025,1,Abogados,Abogados,Abogado David Molina,312.5,312.5
02/19/2025,1,Pisos,Limpieza,Insumos de Jhonny,751,751
02/20/2025,1,Pisos,Limpieza,Insumos (Sellador),111.8,111.8
02/20/2025,1,Empresa,Empresa,PLumones,9,9
02/20/2025,1,Empresa,Empresa,Pago local,2300,2300
02/20/2025,1,Pisos,Limpieza,Soldimix,9.5,9.5
02/20/2025,1,Empresa,Empresa,Operario Carla,75,75
02/21/2025,1,Colchón,Limpieza,René Shampoo,120,120
02/21/2025,1,Colchón,Limpieza,6 galones de lejía,108,108
02/21/2025,1,Empresa,Empresa,Operario José Urbina,60,60
02/21/2025,1,Empresa,Empresa, Operario Luis Miguel,60,60
02/21/2025,1,Empresa,Empresa,Pasajes Jesus y Luis MIguel,8,8
02/21/2025,1,Empresa,Empresa,Pastillas Navid,12,12
02/22/2025,1,Pisos,Limpieza,Accesorio de pato para aspiradora,55,55
02/23/2025,1,Clases,Clases,Jorge Fernandez  (clases),822.5,822.5
02/24/2025,1,Personal Limpieza,Limpieza,José Urbina,55,55
02/24/2025,1,Personal Limpieza,Limpieza,Operario Noemí,65,65
02/25/2025,4,Medicamento,Medicamento,Betty (voriconazol 4 und),100,400
02/25/2025,1,Pisos,Limpieza,Insumos: Binners y otros,223.4,223.4
