MEDIO DE CONTACTO,TIPO DE SERVICIO Especifico,TIPO DE SERVICIO General,SERVICIO,UBICACIÓN,ANTICIPO,RESTANTE,TOTAL,VENDEDOR
Pagina Web,Inmueble,Limpieza,limpieza de moho ,,195,,390,Yetsica
Pagina Web,Inmueble,Limpieza,DOMÉSTICA,,devolucion,,,GRECIA
Pagina Web,Inmueble,Limpieza,LIMPIEZA 198M2,,1043,,1490,Yetsica
Pagina Web,Clase modelo,Clases,CLASE,,300,,300,GRECIA
Pagina Web,,Abogados,CONSULTA,,390,,390,GRECIA
Pagina Web,Inmueble,Limpieza,Domestica 5 horas ,,100,,190,Yetsica
Pagina Web,Mueble,Limpieza,lavado de mueble ,,149,,299,fabiola
Pagina Web,Marketing,Marketing,Carta + menu,,175,,350,Cliente
Pagina Web,Clase modelo,Clases,clase,,150,,150,fabiola
-,Paquete de clases,Clases,Paquete 10,,829,,829,fabiola
Pagina Web,Clase modelo,Clases,CLASE ,,130,,130,GRECIA
,,Medicamento,VORICONAZOL,,980,,980,Cliente
Pagina Web,Colchón,Limpieza,COLCHONES,,300,,499,fabiola
Pagina Web,Pisos,Limpieza,visita,,80,,80,fabiola
Pagina Web,Pisos,Abogados,consulta,,390,,390,fabiola
,Pisos,Limpieza,visita piso,,170,,170,Cliente
Pagina Web,Inmueble,Limpieza,limpieza fina,,400,,400,Yetsica
Pagina Web,Colchón,Limpieza,COLCHON,,109.5,,219.5,FABIOLA
Llamada,,Abogados,CONSULTA,,250,,250,FABIOLA
Pagina Web,Inmueble,Limpieza,limpieza de moho ,,145,,290,FABIOLA
Llamada,Colchón,Limpieza,clochón,,84.5,,169,FABIOLA
Pagina Web,Inmueble,Limpieza,visita,,85,,85,FABIOLA
Pagina Web,Clase modelo,Clases,Clase,,100,,100,FABIOLA
Pagina Web,Inmueble,Limpieza,visita,,85,,85,Yetsica
Llamada,Baño,Limpieza,limpieza baño,,110.5,,219,marco
,Pisos,Limpieza,Limpieza de piso,,2100,,2990,Yetsica
Pagina Web,Inmueble,Limpieza,visita de casa ,,50,,50,Yetsica
Pagina Web,Paquete de clases,Clases,PAQUETE DE 10 HORAS,,629,,629,
